date,actual_pnl_eur,mc_volatility_eur,mc_var_eur,mc_es_eur,mc_exception
2022-03-25,-3495.7660640341005,3906.1585712690244,9154.12748487206,10497.821986882645,False
2022-03-28,1109.5710639423164,3910.7664762652284,9164.926163165277,10510.205756128065,False
2022-03-29,5643.158875921506,3911.010938130731,9165.499062355408,10510.86274869501,False
2022-03-30,3779.480655088846,3879.9612738208093,9092.733817353292,10427.416610313554,False
2022-03-31,-1793.1480695575372,3882.8768309919146,9099.566459077067,10435.252185755875,False
2022-04-01,-707.6318857282549,3877.2900260224283,9086.47371745107,10420.237617613024,False
2022-04-04,330.84777377753164,3876.6114510558127,9084.883469221484,10418.413943772264,False
2022-04-05,-12168.26678611656,3862.911443953475,9052.777345194445,10381.595101639941,True
2022-04-06,-5841.725510533485,3940.218097586124,9233.94637606464,10589.357145456173,False
2022-04-07,-582.594664179825,3957.095815534747,9273.499501964803,10634.716102430595,False
2022-04-08,-3590.633683013833,3948.097034538974,9252.410755325163,10610.531830525351,False
2022-04-11,-7906.530167130875,3953.0518366812416,9264.02239106526,10623.847887700382,False
2022-04-12,-317.3931896880256,3926.604332283784,9202.04236068662,10552.770078621164,False
2022-04-13,3238.997571005808,3926.3344699416702,9201.409935187756,10552.0448221379,False
2022-04-14,-8321.115922705629,3928.6366356769154,9206.805087035085,10558.231904825905,False
2022-04-18,-2415.8125696714496,3962.4604537723644,9286.07159330246,10649.133596297013,False
2022-04-19,-1097.376524933091,3955.7499551135866,9270.345462606861,10631.099095372956,False
2022-04-20,6821.961911569941,3954.6821524184566,9267.843054724139,10628.229369936555,False
2022-04-21,-5465.127065226361,3978.1571223666683,9322.85691647314,10691.318476834662,False
2022-04-22,-10477.146448095742,3991.076895369821,9353.13455292558,10726.040435665424,True
2022-04-25,1308.6097547770742,4040.0806622957302,9467.975443661102,10857.738320553837,False
2022-04-26,-5782.891367800664,4040.7582257248787,9469.563321341013,10859.559275882262,False
2022-04-27,-5595.99123050838,4056.088982076048,9505.491124966386,10900.76076531554,False
2022-04-28,5907.954580805508,4069.6735192460433,9537.326643880488,10937.269281389035,False
2022-04-29,-14112.00241385664,4087.0947083556766,9578.153400689758,10984.088820006316,True
2022-05-02,-5871.62726257493,4181.421501177588,9799.20932327366,11237.592578640539,False
2022-05-03,3055.2285050084897,4196.55335764276,9834.671002731278,11278.259523569717,False
2022-05-04,11110.296096641625,4189.238832890986,9817.52932994782,11258.601699300227,False
2022-05-05,-15892.477270556066,4246.297264101616,9951.246418964824,11411.946537399153,True
2022-05-06,-7222.1238076252575,4356.273820443194,10208.977742138159,11707.509118932852,False
2022-05-09,-7680.336577674923,4370.703080123856,10242.792877959997,11746.287831257601,False
2022-05-10,2669.7718255024647,4353.315707955847,10202.045371541904,11699.559175851238,False
2022-05-11,2413.9817793676184,4352.383491399956,10199.860711334073,11697.053838886952,False
2022-05-12,-3509.6528935626866,4324.137633763768,10133.666219481373,11621.142945890306,False
2022-05-13,-2202.2224584421883,4327.1423840274,10140.707886242117,11629.218228244346,False
2022-05-16,511.5452368746111,4326.528811235988,10139.269971356849,11627.569248096019,False
2022-05-17,1312.7535335592577,4326.825140607707,10139.964422643641,11628.365634862463,False
2022-05-18,-1516.638180273,4314.938113726577,10112.107038592125,11596.419186740966,False
2022-05-19,-32.26547455414948,4313.736810352558,10109.291770334798,11593.190677518258,False
2022-05-20,5647.8922149074015,4307.860505747315,10095.520582986697,11577.398077560778,False
2022-05-23,265.47217605377193,4315.365493573169,10113.10860817226,11597.567772357357,False
2022-05-24,7263.071551425453,4315.3556930003315,10113.085640417228,11597.541433265602,False
2022-05-25,3510.488481218588,4340.747762976882,10172.592248105871,11665.782756711335,False
2022-05-26,2430.6411759531243,4347.093885874746,10187.4644600199,11682.837995835182,False
2022-05-27,7815.11397884571,4350.452063429671,10195.334387697883,11691.863115918952,False
2022-05-31,-8479.084318066936,4378.897886053804,10261.997499796984,11768.311415886858,False
2022-06-01,-2141.791662015808,4399.018573730944,10309.15056251046,11822.38587129732,False
2022-06-02,5272.692752788311,4377.987527084177,10259.864063093655,11765.864821302193,False
