date,realised_pnl,realised_loss,delta_normal_var,delta_normal_es,delta_gamma_var,delta_gamma_es,full_revaluation_var,full_revaluation_es
2024-02-20,994.9243132726115,-994.9243132726115,3087.404389150998,3516.057172709322,3056.9525734153335,3498.220380143487,2876.5345914772215,3363.325203055823
2024-02-21,923.7403855572047,-923.7403855572047,3098.0801891426177,3527.973407944959,2990.6756955130595,3286.6606131590465,2831.655857275557,3107.208628892786
2024-02-22,1657.9427841554061,-1657.9427841554061,3146.3039567418946,3582.7112391956466,3116.488368501159,3515.0686108110285,2940.910155631522,3306.167944877265
2024-02-23,-29.529664556408534,29.529664556408534,3202.7577487296485,3646.680733247025,3179.5776537120414,3570.5388524990985,3039.959690810953,3362.3998269293443
2024-02-26,46.24832417615107,-46.24832417615107,3121.8320841275795,3554.420561628712,2982.5410675193307,3623.0383110100474,2884.970882435059,3393.275688204629
2024-02-27,646.6380236615514,-646.6380236615514,3103.6192905903895,3533.6538864900845,2958.371117085248,3329.4533885183746,2802.8132058047527,3150.0064254406957
2024-02-28,-669.5064883855521,669.5064883855521,3112.638673157459,3543.790116150415,2903.077144985721,3319.397342135894,2747.8331523905267,3147.2455263478246
2024-02-29,-746.7607614018343,746.7607614018343,3085.4262668332863,3512.815167971062,2929.273783018631,3312.538116700256,2822.563885764339,3150.1956968762483
2024-03-01,-752.6233243165188,752.6233243165188,3050.6923779484614,3473.408623646385,2943.2010751973285,3368.571818379723,2786.2001073888,3163.8908851300457
2024-03-04,-2048.389441289124,2048.389441289124,3038.077245376752,3459.1551097931847,2851.1174989414785,3196.517257254015,2715.6454244420293,3044.9724619024737
2024-03-05,-1514.5026543927233,1514.5026543927233,2966.3367785569435,3377.987421374284,2701.9109489628568,2964.555363999168,2570.0727713284173,2810.5318173946066
2024-03-06,-2799.2383017700195,2799.2383017700195,2918.840219652763,3324.4198779738613,2710.7959863501756,2953.3936807134864,2573.3179878856613,2835.0270110363444
2024-03-07,-148.70710140804294,148.70710140804294,2783.707558644683,3171.236346559716,2802.3836204719323,3103.0057370441964,2604.786905867805,2961.136185719083
2024-03-08,-686.8490355988979,686.8490355988979,2766.3605109553982,3151.699761891073,2660.5329212974516,2919.6939422122973,2492.983592901128,2817.8928970578645
2024-03-11,1444.9510708984599,-1444.9510708984599,2740.1949797760285,3122.0411064570785,2703.0160312803882,3049.3783259670167,2551.487642097356,2877.93839846819
2024-03-12,2235.4489590699086,-2235.4489590699086,2810.9264493878622,3202.48930752145,2613.5775774799927,3087.297620035466,2429.9464503000922,2813.061307752333
2024-03-13,-2023.5027856354209,2023.5027856354209,2958.559003664732,3370.3560395774666,2892.6984959108977,3187.1717063104184,2788.530545944036,3041.4815043942917
2024-03-14,165.47437645432365,-165.47437645432365,2852.4531012938,3249.8031982637685,2598.718853239669,3158.398559881248,2556.32072435632,2944.081173774369
2024-03-15,1449.2242730131911,-1449.2242730131911,2839.2201185200543,3234.4846426429713,2715.576769186096,2972.9506121693257,2542.1624497079265,2863.4957472110063
2024-03-18,836.6839613950942,-836.6839613950942,2932.7809673190227,3340.842704599718,2656.237737773294,3114.257784750231,2536.2030952843556,2952.1784254025724
