date,actual_pnl_eur,fhs_forecast_volatility_eur,fhs_residual_skewness,fhs_residual_excess_kurtosis,fhs_var_eur,fhs_es_eur,fhs_exception
2019-07-25,-3846.9714106988513,3046.854798729403,0.039092652131457295,0.059348322682949206,6267.083572228456,8453.455223741905,False
2019-07-26,2698.1961706747934,3100.689623160523,0.05546550834729937,0.04504987236904112,6367.853941390841,8588.361893742134,False
2019-07-29,383.4149076097416,3078.024620456323,0.04482535520569015,0.03704424695737263,6291.11615996891,8481.864139621122,False
2019-07-30,814.2005988948375,2985.7330242561593,0.05043658009668682,0.07047223091489974,6123.006389698636,8257.249557223982,False
2019-07-31,-2022.0476177098435,2901.637617010821,0.0553101845856405,0.08632301036152867,5962.361243208837,8041.807804609634,False
2019-08-01,5838.887196531189,2856.510345836139,0.05409897084787088,0.0903226149857903,5876.350355760033,7926.489644757429,False
2019-08-02,446.69097872562793,3116.99019476811,0.052744354335003386,0.07415545578561611,6518.0066158385835,8803.798959464499,False
2019-08-05,292.00003186474214,3024.014301141095,0.054748488891236985,0.0717949404104874,6266.442952063106,8457.53684716044,False
2019-08-06,9567.190739050367,2932.7630112263223,0.05424412946068278,0.07758114974115182,6024.736045263548,8125.7751060798055,False
2019-08-07,1878.928856112194,3684.68473315536,0.13288995085581545,0.22083706050176577,7495.8303995536735,10102.732569157226,False
2019-08-08,6255.767041862781,3601.9592205749136,0.12881406845182755,0.22001766716012439,7252.636255553091,9768.281367465595,False
2019-08-09,-3105.5039239624493,3813.625720127043,0.13240573707162967,0.17492744197548316,7616.482222633928,10253.206148777343,False
2019-08-12,5047.659968388779,3774.886236429164,0.1388825580452149,0.18712808851251594,7497.99463359031,10090.520838226963,False
2019-08-13,2140.538315220758,3863.096258929575,0.13576690364888586,0.14907977601759903,7587.754020716768,10205.22340792209,False
2019-08-14,-342.16343792763905,3781.932732794457,0.10093878850845898,0.17575284003442704,7735.369742761803,10429.591982836924,False
2019-08-15,4390.530394368697,3667.677604022695,0.11595872689564196,0.17880303780822704,7443.94905717758,10031.206032463704,False
2019-08-16,-207.96875194657449,3715.0171599273,0.1017912917994148,0.18085436132149635,7684.0065932624975,10369.198683831766,False
2019-08-19,-3388.167499596051,3602.203026260779,0.1048227101398009,0.17824357125497592,7362.269166580676,9926.00346063869,False
2019-08-20,2163.9299975432345,3589.720796278632,0.10542934515763726,0.16799120022407976,7332.4050782623,9885.316358050028,False
2019-08-21,-176.1119121516441,3520.494969456962,0.07693746830144613,0.20101845559019083,7371.375575258706,9957.575199184432,False
2019-08-22,-2576.6339507349576,3413.5191253047665,0.08034565903987768,0.1938134789071322,7078.058811801886,9553.430405830939,False
2019-08-23,1325.2183721306203,3369.173259150483,0.08750615343780475,0.23252457897694834,7057.131393848635,9533.391571271573,False
2019-08-26,2637.9285144647934,3282.624123623071,0.09327820547015662,0.2148723325106432,6793.026178302024,9167.227556195798,False
