date,actual_pnl_eur,ewma_volatility_eur,ewma_var_eur,ewma_exception
2023-01-18,2211.7184841369485,6478.281774786315,15070.737034211668,False
2023-01-19,-1233.5192527770655,6304.248455406973,14665.874991661267,False
2023-01-20,-38.92745444503674,6119.659292564369,14236.456385111396,False
2023-01-23,2447.529149811312,5933.237479357104,13802.774396281837,False
2023-01-24,4758.223923145488,5783.643531858748,13454.766834549659,False
2023-01-25,1766.4916058514837,5727.297988367855,13323.687499237943,False
2023-01-26,616.2140458120855,5569.65486078997,12956.954744539982,False
2023-01-27,-897.2115333515885,5402.089886075335,12567.140321848883,False
2023-01-30,-5039.778832921205,5242.129332736643,12195.01642865902,False
2023-01-31,6237.626150020503,5230.209076677075,12167.285766316823,False
2023-02-01,8341.804475930814,5296.060853677488,12320.479907743544,False
2023-02-02,3711.98116933128,5526.346627455008,12856.204727992728,False
2023-02-03,-12844.155554494446,5434.593349650416,12642.754685235735,True
2023-02-06,-5533.191783286812,6136.860475681653,14276.472320887277,False
2023-02-07,-113.82382313821498,6102.324621547314,14196.129910043672,False
2023-02-08,-954.4864651691296,5916.488924294615,13763.811430818958,False
2023-02-09,-6455.492482450258,5741.011529735353,13355.589967043794,False
2023-02-10,-1993.3286691048988,5786.368772636191,13461.106692638512,False
2023-02-13,3495.463997478826,5631.300143798715,13100.363117612022,False
2023-02-14,294.60742292943826,5526.476720699619,12856.507370135756,False
2023-02-15,-3381.60776455384,5358.603909581993,12465.976812883007,False
2023-02-16,-8634.385707702979,5260.976522718726,12238.861549005484,False
2023-02-17,1670.010274223527,5521.807541666485,12845.64523541851,False
2023-02-21,-11090.830643789312,5369.196688009603,12490.619300458264,False
2023-02-22,987.6903777712942,5871.879439516299,13660.034250742865,False
2023-02-23,3314.3505928243108,5698.136712998548,13255.848228278237,False
2023-02-24,-7796.396865310062,5583.881398377824,12990.050620012447,False
2023-02-27,1454.4693824333765,5740.729555358435,13354.933996551517,False
2023-02-28,2191.9687880307406,5577.234632787657,12974.587931012515,False
2023-03-01,-3954.869978065484,5433.920960989233,12641.190475303265,False
2023-03-02,928.9125785699404,5356.706729163515,12461.563311249809,False
2023-03-03,11588.300826322697,5198.501830147535,12093.523680761138,False
2023-03-06,-2409.915766978754,5784.4860587476105,13456.726845186386,False
2023-03-07,-3445.2092990807814,5639.248519639006,13118.85380485016,False
