date,actual_pnl_eur,historical_var_eur,parametric_var_eur,historical_exception,parametric_exception
2024-05-31,4056.3563499213033,11083.023063101964,10966.621459559843,False,False
2024-06-03,6719.54059257408,11083.023063101964,10980.15281503888,False,False
2024-06-04,3438.513015299427,11083.023063101964,11018.755783440592,False,False
2024-06-05,6481.611806542542,11083.023063101964,11022.686610201034,False,False
2024-06-06,519.2625486921897,11083.023063101964,11001.644783360642,False,False
2024-06-07,-10794.049062307442,11083.023063101964,10955.338853146524,False,False
2024-06-10,-1973.6743929511747,11083.023063101964,11076.206630954372,False,False
2024-06-11,3862.025187090057,11083.023063101964,11076.543172381267,False,False
2024-06-12,4262.087689438443,11083.023063101964,11083.222720830014,False,False
2024-06-13,5046.589896346499,11083.023063101964,11089.984162697432,False,False
2024-06-14,3245.951360890176,11083.023063101964,11053.316966960809,False,False
2024-06-17,-2450.5431755010186,11083.023063101964,11061.560840913768,False,False
2024-06-18,4708.41968949064,11083.023063101964,11066.837476127628,False,False
2024-06-20,-602.5079666149072,11083.023063101964,11084.677023775766,False,False
2024-06-21,-3498.488942093841,11083.023063101964,11075.493988327995,False,False
2024-06-24,645.9414188290435,11083.023063101964,11089.343204755982,False,False
2024-06-25,1568.5690799430884,11083.023063101964,11086.639983464363,False,False
2024-06-26,-5788.476988766822,11083.023063101964,11087.157126392469,False,False
2024-06-27,2735.1884523822864,11083.023063101964,11120.747624293244,False,False
2024-06-28,-6020.3577355386615,11083.023063101964,11095.496766769302,False,False
2024-07-01,-3772.264365773415,11083.023063101964,11095.17319481534,False,False
2024-07-02,4045.554200046936,11083.023063101964,11110.437602344999,False,False
2024-07-03,6957.220769536399,11083.023063101964,11105.27966474478,False,False
2024-07-05,7107.185153413954,11083.023063101964,11093.899119346044,False,False
2024-07-08,-639.8778632860756,11083.023063101964,11137.499499686697,False,False
2024-07-09,-737.6058023839785,11083.023063101964,11133.58618904107,False,False
2024-07-10,3666.4507333794118,11083.023063101964,11118.98119181528,False,False
2024-07-11,3761.1371390578684,11083.023063101964,11079.082543381597,False,False
2024-07-12,3494.2224125004414,11083.023063101964,11038.342240379383,False,False
2024-07-15,-2042.2946331779435,11083.023063101964,11046.673913799516,False,False
2024-07-16,8997.955291113514,11083.023063101964,11051.351937258856,False,False
2024-07-17,-4120.581151513154,11083.023063101964,11102.742316854694,False,False
2024-07-18,-4480.233267668387,11083.023063101964,11109.863630333104,False,False
2024-07-19,-6822.5581086959255,11083.023063101964,11087.226619775722,False,False
2024-07-22,1709.5848686686677,11083.023063101964,11133.232427980609,False,False
2024-07-23,-457.5784887884183,11083.023063101964,11134.02036957807,False,False
2024-07-24,-10152.211151752166,11083.023063101964,11134.364256209688,False,False
2024-07-25,-1396.7806085685597,11083.023063101964,11239.436469543325,False,False
2024-07-26,6938.085223846236,11083.023063101964,11152.59092205094,False,False
2024-07-29,1594.8526658276508,11083.023063101964,11186.323697579368,False,False
2024-07-30,754.5241471158927,11083.023063101964,11183.519260433344,False,False
2024-07-31,9786.246460844539,11083.023063101964,11121.801842099265,False,False
2024-08-01,-1324.2206423057405,11083.023063101964,11152.77333497938,False,False
2024-08-02,3737.151733133581,11083.023063101964,11072.065633229739,False,False
2024-08-05,-5312.5456360313465,11083.023063101964,11063.48450564784,False,False
2024-08-06,-4869.962414897938,11083.023063101964,11095.17878956925,False,False
2024-08-07,-4337.215535467253,11083.023063101964,11120.995232942993,False,False
2024-08-08,6321.972883236671,11083.023063101964,11138.64288516199,False,False
2024-08-09,4202.173935252329,11083.023063101964,11148.299862012142,False,False
2024-08-12,3758.891516732299,11083.023063101964,11160.977752210614,False,False
2024-08-13,6373.258366547458,11083.023063101964,11171.090417220668,False,False
2024-08-14,2557.205162417697,11083.023063101964,11167.358125318975,False,False
2024-08-15,2629.9787539373565,11083.023063101964,11140.3539675385,False,False
2024-08-16,4233.913624907226,11083.023063101964,11125.076428113238,False,False
2024-08-19,4482.680280634094,11083.023063101964,11137.927063435676,False,False
2024-08-20,3649.6978191082385,11083.023063101964,11146.73789609091,False,False
2024-08-21,1589.3912638342722,11083.023063101964,11153.063982337613,False,False
2024-08-22,-6243.166381317351,11083.023063101964,11051.687950291385,False,False
2024-08-23,5668.710024401292,11083.023063101964,11065.383137540704,False,False
2024-08-26,393.3672943281229,11083.023063101964,11090.485403727413,False,False
2024-08-27,-185.70978158507512,11083.023063101964,11087.538303934312,False,False
2024-08-28,-2635.8281822859485,11083.023063101964,11022.251721216006,False,False
2024-08-29,-1129.8857489102088,11083.023063101964,11030.08658103891,False,False
2024-08-30,-2681.3715660590988,11083.023063101964,11030.757874188079,False,False
2024-09-03,-1121.3553323129736,11083.023063101964,11002.247037275301,False,False
2024-09-04,3110.581359061354,11083.023063101964,10942.468690078538,False,False
2024-09-05,2910.3298729734274,11083.023063101964,10937.394024866324,False,False
2024-09-06,-4794.766768542286,11083.023063101964,10942.775727696657,False,False
2024-09-09,4295.493080458423,11083.023063101964,10970.80099191953,False,False
2024-09-10,2953.5013981935695,11083.023063101964,10984.568198642333,False,False
2024-09-11,1788.075508051357,11083.023063101964,10990.105955581706,False,False
2024-09-12,3156.63049528605,11083.023063101964,10991.183701323765,False,False
2024-09-13,4822.435090330102,11083.023063101964,10997.014704982126,False,False
2024-09-16,3296.1577799975553,11083.023063101964,10975.789943072188,False,False
2024-09-17,-1436.966780304649,11083.023063101964,10975.638402571329,False,False
2024-09-18,-5732.475627244859,11083.023063101964,10970.677061653916,False,False
2024-09-19,5454.224025022968,11083.023063101964,11006.362836303415,False,False
2024-09-20,1174.2701618206454,10915.229728985692,10830.991290268832,False,False
2024-09-23,258.4561805870523,10915.229728985692,10827.957237250213,False,False
2024-09-24,1869.8288257967708,10915.229728985692,10762.953110235549,False,False
2024-09-25,-1822.0054269748264,10915.229728985692,10704.014030939119,False,False
2024-09-26,1384.2539471889959,10915.229728985692,10690.362592855374,False,False
2024-09-27,836.646113331813,10915.229728985692,10690.629302577012,False,False
2024-09-30,-1760.353995820224,10915.229728985692,10687.37233503873,False,False
2024-10-01,905.4139000465807,10915.229728985692,10637.797830456957,False,False
2024-10-02,-3697.7760291334152,10670.1783620785,10473.148772164725,False,False
2024-10-03,-3665.3644711419906,10670.1783620785,10467.82583679739,False,False
2024-10-04,-1951.7680398940918,10670.1783620785,10484.337790988642,False,False
2024-10-07,-6135.146993741873,10670.1783620785,10492.095681543919,False,False
2024-10-08,1786.7745286186287,10670.1783620785,10414.345450326615,False,False
2024-10-09,-790.846841009424,10670.1783620785,10415.534565248932,False,False
2024-10-10,-1102.2415095351066,10670.1783620785,10347.747443839678,False,False
2024-10-11,1749.6123121181095,10670.1783620785,10235.990078887191,False,False
2024-10-14,1869.1382703838133,10670.1783620785,10190.820300976873,False,False
2024-10-15,1928.2985788443289,10670.1783620785,10175.960092079617,False,False
2024-10-16,2642.0047657121695,10670.1783620785,10167.05595356119,False,False
2024-10-17,-4230.878830955875,10670.1783620785,10152.252388931407,False,False
2024-10-18,2171.8391719383058,10670.1783620785,10111.885530518055,False,False
2024-10-21,-4960.006782761889,10670.1783620785,10113.306756185051,False,False
2024-10-22,843.3274501385092,10670.1783620785,10144.130956934276,False,False
2024-10-23,-5284.346701596587,10670.1783620785,10097.292161374466,False,False
2024-10-24,3306.6036086136337,10350.621838958295,9986.818615869342,False,False
2024-10-25,-651.6379090903856,10350.621838958295,9993.631869130724,False,False
2024-10-28,-544.8499700799304,10350.621838958295,9993.431443800102,False,False
2024-10-29,2870.113976421584,10350.621838958295,9995.226869804908,False,False
2024-10-30,1021.1524030547037,10350.621838958295,9999.916172093637,False,False
2024-10-31,-6025.094611262688,10350.621838958295,9942.127135387502,False,False
2024-11-01,-3293.320199577599,10350.621838958295,9843.86341157854,False,False
